HORA: Tue Nov 05 15:31:20 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:31:34 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:31:34 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:31:36 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:32:01 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:32:01 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:32:02 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:32:39 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:32:39 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:32:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:34:36 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:34:36 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:34:37 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:35:04 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:35:04 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:35:04 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:35:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:35:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 15:35:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:08:03 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:09:01 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:09:44 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:11:14 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:11:22 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:11:31 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:11:41 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:11:52 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:28 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:28 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:29 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:39 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:39 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:39 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:51 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:51 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:12:52 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:14:19 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:14:19 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:14:19 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:14:19 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:18:52 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:18:52 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:18:52 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:16 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:16 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
